date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,scheduled_vol_mw,MCP,scrape_timestamp
21-02-2026,18:00-18:15,6910.5,5949.6,4584.5,4584.5,5678.68,2026-02-25 11:04:05
21-02-2026,18:15-18:30,7029.3,5911.4,4370.01,4370.01,5500.55,2026-02-25 11:04:05
21-02-2026,18:30-18:45,7661.0,4105.2,4105.17,4105.17,10000.0,2026-02-25 11:04:05
21-02-2026,18:45-19:00,8434.4,3831.4,3831.39,3831.39,10000.0,2026-02-25 11:04:05
21-02-2026,19:00-19:15,7290.6,4139.0,4132.69,4132.69,10000.0,2026-02-25 11:04:05
21-02-2026,19:15-19:30,6529.5,4962.6,4058.78,4058.78,5150.56,2026-02-25 11:04:05
21-02-2026,19:30-19:45,7157.3,5533.2,4328.93,4328.93,4900.69,2026-02-25 11:04:05
21-02-2026,19:45-20:00,6722.7,7245.8,4643.41,4643.41,3800.31,2026-02-25 11:04:05
21-02-2026,20:00-20:15,7148.5,6005.1,4639.94,4639.94,4697.66,2026-02-25 11:04:05
21-02-2026,20:15-20:30,7253.5,6157.9,4795.03,4795.03,4697.96,2026-02-25 11:04:05
21-02-2026,20:30-20:45,6599.8,6118.1,4247.8,4247.8,4620.02,2026-02-25 11:04:05
21-02-2026,20:45-21:00,6544.0,7166.8,4374.49,4374.49,4397.09,2026-02-25 11:04:05
21-02-2026,21:00-21:15,4331.4,7469.8,3384.0,3384.0,3419.96,2026-02-25 11:04:05
21-02-2026,21:15-21:30,4672.1,8755.1,3813.54,3813.54,3376.38,2026-02-25 11:04:05
21-02-2026,21:30-21:45,5883.1,8961.9,4613.0,4613.0,3559.48,2026-02-25 11:04:05
21-02-2026,21:45-22:00,6065.6,9725.6,4831.08,4831.08,3559.9,2026-02-25 11:04:05
21-02-2026,22:00-22:15,6892.4,9365.2,4786.53,4786.53,3698.24,2026-02-25 11:04:05
21-02-2026,22:15-22:30,6994.5,9228.5,4729.02,4729.02,3705.94,2026-02-25 11:04:05
21-02-2026,22:30-22:45,7240.5,9101.6,4999.81,4999.81,3735.17,2026-02-25 11:04:05
21-02-2026,22:45-23:00,7208.0,9981.4,5150.9,5150.9,3588.51,2026-02-25 11:04:05
21-02-2026,23:00-23:15,6929.3,10777.0,4835.92,4835.92,3500.29,2026-02-25 11:04:05
21-02-2026,23:15-23:30,7012.9,11674.5,5072.1,5072.1,3396.85,2026-02-25 11:04:05
21-02-2026,23:30-23:45,7135.5,11955.6,5271.9,5271.9,3276.62,2026-02-25 11:04:05
21-02-2026,23:45-24:00,7127.6,12062.9,5277.6,5277.6,3269.87,2026-02-25 11:04:05
22-02-2026,00:00-00:15,7609.9,11760.1,5333.4,5333.4,3499.1,2026-02-25 11:04:05
22-02-2026,00:15-00:30,7942.4,11050.0,5485.76,5485.76,3588.67,2026-02-25 11:04:05
22-02-2026,00:30-00:45,8046.1,10364.7,5523.85,5523.85,3739.64,2026-02-25 11:04:05
22-02-2026,00:45-01:00,8076.0,10384.8,5345.38,5345.38,3735.42,2026-02-25 11:04:05
22-02-2026,01:00-01:15,7556.2,10897.8,5326.7,5326.7,3590.8,2026-02-25 11:04:05
22-02-2026,01:15-01:30,7410.9,11245.1,5200.4,5200.4,3588.57,2026-02-25 11:04:05
22-02-2026,01:30-01:45,7410.2,10799.2,4872.8,4872.8,3590.06,2026-02-25 11:04:05
